model,CALV-ABC,CALV-ABCD,CALV-D,Dex-adroit-door,Dex-adroit-hammer,Dex-adroit-pen,Dex-dexart-bucket,Dex-dexart-faucet,Dex-dexart-laptop,Dex-dexart-toilet,LIBERO-Goal,LIBERO-Long,LIBERO-Object,LIBERO-Spatial,LPlus-Backg,LPlus-Camer,LPlus-Langu,LPlus-Layou,LPlus-Light,LPlus-Noise,LPlus-Robot,MW-Easy,MW-Hard,MW-Medium,MW-Very-Hard,RTwin-Easy,RTwin-Hard,RoboCasa,RoboChall
pi-rl,0.9420,,,,,,,,,,0.9960,0.9400,1.0000,0.9960,,,,,,,,0.9110,0.7830,0.8180,0.9200,,,,
pi-stepnft,,,,,,,,,,,0.9820,0.7980,1.0000,0.9780,,,,,,,,,,,,,,,
pi0,,,,,,,,,,,0.9580,0.8520,0.9880,0.9680,0.8140,0.1380,0.5880,0.6890,0.8500,0.7900,0.0600,0.7180,0.4170,0.4820,0.3000,0.4642,0.1634,,0.2833
pi0-fast,,,,,,,,,,,0.8860,0.6020,0.9680,0.9640,0.7320,0.6510,0.6100,0.6880,0.7320,0.7440,0.2160,,,,,,,,
pi0.5,,,,,,,,,,,0.9800,0.9240,0.9820,0.9880,0.9500,0.7580,0.8330,0.8700,0.9550,0.8960,0.7940,,,,,0.8274,0.7676,,0.4267
pi0.5-ki,,,,,,,,,,,0.9560,0.8580,0.9780,0.9800,,,,,,,,,,,,,,,
pld,,,,,,,,,,,0.9890,,0.9910,0.9950,,,,,,,,,,,,,,,
pokevla,,,,,,,,,,,0.9840,0.9520,0.9960,0.9960,0.9930,0.9820,0.7140,0.7790,0.9900,0.9400,0.5290,,,,,,,,
pose-vla,,,,,,,,,,,0.9710,0.9240,0.9800,0.9650,,,,,,,,,,,,0.7991,0.7910,,
progal-vla,,,,,,,,,,,,,,,0.9230,0.9320,0.9360,0.8670,0.8680,0.7480,0.7150,,,,,,,,
prts,,,,,,,,,,,0.9840,0.9660,0.9980,0.9880,0.9670,0.5950,0.8960,0.8330,0.9650,0.8130,0.7240,,,,,,,,
quantvla,,,,,,,,,,,0.9800,0.9600,0.9800,0.9850,,,,,,,,,,,,,,,
rdt-1b,,,,,,,,,,,,,,,,,,,,,,,,,,0.3450,0.1372,,0.1500
resample,,,,,,,,,,,0.9140,0.8740,0.9640,0.9640,,,,,,,,,,,,,,,
revip,,,,,,,,,,,0.9660,0.9220,0.9880,0.9900,,,,,,,,,,,,,,,
ript-vla,,,,,,,,,,,0.9860,0.9380,0.9860,0.9900,0.9160,0.5520,0.7760,0.7420,0.8840,0.7350,0.3120,,,,,,,,
rlinf-vla,,,,,,,,,,,0.9880,0.9400,0.9980,0.9940,,,,,,,,,,,,,,,
roboflamingo,0.4960,0.8180,0.4240,,,,,,,,,,,,,,,,,,,,,,,,,,
robotron mani,,0.7020,,,,,,,,,,,,,,,,,,,,0.8554,0.7667,0.6772,0.8100,,,,
rocket-vla,,,,,,,,,,,0.9880,0.9700,0.9980,0.9820,0.9180,0.9180,0.7800,0.8120,0.9470,0.9250,0.4180,,,,,,,,
rynnvla-002,,,,,,,,,,,0.9640,0.9440,0.9980,0.9900,,,,,,,,,,,,,,,
saivla-0,,,,,,,,,,,0.9820,0.9780,1.0000,0.9980,,,,,,,,,,,,,,,
sdm policy,,,,0.7300,1.0000,0.4900,0.3100,0.3800,0.8300,0.7200,,,,,,,,,,,,,,,,,,,
simplevla-rl,,,,,,,,,,,0.9920,0.9850,0.9910,0.9940,,,,,,,,,,,,,,,
simvla,,,,,,,,,,,0.9860,0.9640,0.9980,0.9960,,,,,,,,,,,,,,,
smolvla,,,,,,,,,,,0.9100,0.7700,0.9400,0.9300,,,,,,,,0.8710,0.7000,0.5180,0.6400,,,,
spatialvla,,,,,,,,,,,0.7860,0.5550,0.8990,0.8820,,,,,,,,,,,,,,,
srpo,,,,,,,,,,,0.9940,0.9860,1.0000,0.9880,0.8890,0.1710,0.8180,0.7240,0.7040,0.3530,0.5100,,,,,,,,
st-pi,,,,,,,,,,,0.9690,0.9430,0.9830,0.9840,,,,,,,,,,,,,,,
starvla-alpha,,,,,,,,,,,0.9860,0.9420,0.9970,0.9870,0.9810,0.5250,0.8620,0.7910,0.9780,0.8020,0.6430,,,,,0.8820,0.8830,0.5730,0.3360
streamingvla,,,,,,,,,,,0.9880,0.9300,0.9900,0.9760,,,,,,,,,,,,,,,
streamvla,,,,,,,,,,,0.9860,0.9660,0.9940,0.9920,,,,,,,,,,,,0.7130,0.3720,,
susie,0.5380,,,,,,,,,,,,,,,,,,,,,0.5600,0.2550,0.1960,,,,,
tag,,,,,,,,,,,0.9740,0.9700,0.9920,0.9780,0.9720,0.7750,0.8150,0.8700,0.9800,0.8900,0.8050,,,,,,,,
thinkact,,,,,,,,,,,0.8710,0.7090,0.9140,0.8830,,,,,,,,,,,,,,,
tinyvla-h,,,,,,,,,,,,,,,,,,,,,,0.7760,0.1140,0.2150,0.1580,,,,
tracevla,,,,,,,,,,,0.7510,0.5410,0.8520,0.8460,,,,,,,,,,,,,,,
transformer-bc,,,,,,,,,,,0.7630,0.2420,0.7100,0.7180,,,,,,,,,,,,,,,
trivla,0.8740,,,,,,,,,,0.9380,0.8980,0.9120,0.8700,,,,,,,,0.8570,0.5630,0.5280,,,,,
ttf-vla,,,,,,,,,,,0.8100,0.5800,0.8400,0.7300,,,,,,,,,,,,,,,
uniact,,,,,,,,,,,0.7700,0.7000,0.8700,0.7700,,,,,,,,,,,,,,,
unifiedvla,0.8820,0.9260,,,,,,,,,0.9360,0.9400,0.9880,0.9540,,,,,,,,,,,,,,,
unifolm-vla-0,,,,,,,,,,,0.9940,0.9620,1.0000,0.9900,,,,,,,,,,,,,,,
univla,,,,,,,,,,,0.9560,0.9200,0.9680,0.9650,0.8100,0.0180,0.6960,0.3190,0.6900,0.2120,0.4620,,,,,,,,
vla-0,,,,,,,,,,,0.9620,0.8760,0.9780,0.9700,,,,,,,,,,,,,,,
vla-adapter-pro,0.9000,,,,,,,,,,0.9820,0.9640,0.9960,0.9960,,,,,,,,,,,,,,,
vla-cache,,,,,,,,,,,0.9830,0.9540,0.9750,0.9830,,,,,,,,,,,,,,,
vla-jepa,,,,,,,,,,,0.9720,0.9580,0.9960,0.9620,0.9360,0.6330,0.8540,0.8510,0.9560,0.6630,0.6710,,,,,,,,
vla-rft,,,,,,,,,,,0.9540,0.8020,0.9440,0.9440,,,,,,,,,,,,,,,
vla-rl,,,,,,,,,,,0.8220,0.5980,0.9180,0.9020,,,,,,,,,,,,,,,
vote,,,,,,,,,,,0.9760,0.9560,0.9980,0.9880,,,,,,,,,,,,,,,
vpp,0.8660,,,,,,,,,,,,,,,,,,,,,0.8180,0.5260,0.4930,,,,,
worldvla,,,,,,,,,,,0.8340,0.6000,0.9620,0.8760,0.1710,0.0010,0.4160,0.3800,0.4370,0.1090,0.2790,,,,,,,,
x-vla,0.8860,,,,,,,,,,0.9780,0.9760,0.9860,0.9820,,,,,,,,,,,,0.7000,0.6900,,0.2133
xiaomi-robotics-0,0.9500,0.9600,,,,,,,,,0.9880,0.9720,1.0000,0.9880,,,,,,,,,,,,,,,
